grade,water_cement_ratio,cement_grade,sand_ratio,manufactured_sand_ratio,stone_powder_content,stone_powder_type,fly_ash_content,slag_content,fineness_modulus,strength_7d,strength_28d,slump,flow
C30,0.4527187158024065,42.5,0.3813672955964527,0.47178874564500795,0.1,1,0.16619356165717683,0.22868919283316366,2.6289071816048755,32.0,42.8,160.0,397.0
C30,0.4590501687087504,42.5,0.39042894266321576,0.6084852620752204,0.06380976583789595,1,0.10649069692237559,0.15360392160319866,2.4714185150786507,31.0,42.6,165.0,405.0
C30,0.46956313517113113,42.5,0.40163484471336547,0.30111039450782373,0.08504900637917351,1,0.16737898967859996,0.26649340574552866,2.3056716963275123,24.9,40.4,171.0,448.0
C30,0.4828096055918112,42.5,0.40810791766151705,0.4318748645843669,0.052547022494408575,1,0.1203725020336558,0.19993251387631034,2.683600334244109,28.8,38.9,184.0,509.0
C30,0.488478653296999,42.5,0.4179547404913803,0.5644329593118009,0.0853989859420538,1,0.16828166565305816,0.29303291529563646,2.5113305509881036,25.3,38.2,184.0,512.0
C30,0.5003360735143814,42.5,0.38,0.6920835289323155,0.1,2,0.10842040280279631,0.2265999428465266,2.3511525992253195,24.1,37.1,190.0,474.0
C30,0.5124495670498703,42.5,0.39076670630634747,0.38867120487652135,0.0652901621154347,2,0.1588513326937341,0.1626885117059816,2.7490973664483,22.1,35.0,202.0,561.0
C30,0.5311666148261445,42.5,0.398026134606109,0.520676160342966,0.09054520604590671,1,0.11598883674672292,0.2642707954774402,2.5768494828944584,23.0,32.7,206.0,648.0
C30,0.5436389158664249,42.5,0.41974369345398793,0.6578449809405555,0.05,1,0.16830089278651675,0.19959440522920657,2.413450084877427,18.7,30.6,217.0,679.0
C30,0.55,42.5,0.42,0.3398424904191076,0.07578458582770177,1,0.11080679067373739,0.292906247707043,2.8,20.5,30.4,217.0,580.0
C30,0.45148825224254174,42.5,0.38,0.4706847954627,0.1,2,0.16734543581404912,0.23637378164333814,2.636858239889997,31.3,43.5,160.0,437.0
C30,0.46291572799906683,42.5,0.39791034392184366,0.6127548666594095,0.06401786564783148,2,0.1136774482766779,0.16715205441340686,2.471509891619331,26.5,41.8,166.0,417.0
C30,0.47584263847985164,42.5,0.4009433990374275,0.30424960602031176,0.08233226776013335,2,0.16231514189386131,0.26413345056850907,2.3,23.9,39.7,177.0,484.0
C30,0.49805165041573973,42.5,0.4133757927437786,0.432503028791578,0.05663024970602933,1,0.10099953644513245,0.1952847159576637,2.695908682582185,24.0,36.8,188.0,481.0
C30,0.49853381200552727,42.5,0.4147269776526658,0.5628750310640754,0.08006485602137349,1,0.16634477641266185,0.3,2.52182178554546,27.0,36.5,192.0,570.0
C30,0.5043486548973345,42.5,0.3842708855959182,0.6941566098119023,0.1,1,0.11487077627454499,0.23728849306854857,2.3510086182815817,23.9,36.3,193.0,512.0
C30,0.5164396533902326,42.5,0.394418016964145,0.39145100755074685,0.06938411012287884,2,0.1668071639834077,0.16068123134997514,2.7483928084681977,23.6,34.5,205.0,574.0
C30,0.529935225094093,42.5,0.4022679439509229,0.5203945257380594,0.09213432255203442,2,0.10499674342773459,0.269348346828577,2.573204323121471,21.4,32.5,205.0,583.0
C30,0.5412987845839035,42.5,0.4157433929042127,0.6513676485967399,0.05894148588346606,2,0.17602826225327028,0.20198186970032223,2.4079830296349463,22.3,31.0,216.0,646.0
C30,0.5473876926023371,42.5,0.41196258382719386,0.34536761373710595,0.07907719174901989,2,0.11502022546999767,0.2938152464456096,2.7933977169345785,20.6,30.7,217.0,683.0
C30,0.45,42.5,0.38977090678867415,0.48204776671025223,0.1,2,0.16950113702060213,0.2325108311625238,2.632618378659796,27.7,43.3,162.0,422.0
C30,0.4514382601336059,42.5,0.39700583865773353,0.606338624801304,0.06291076954334703,1,0.10545897084550847,0.17051655346632064,2.473008614278686,31.0,43.1,161.0,454.0
C30,0.4743128148320002,42.5,0.392789581993294,0.3113667257900874,0.08962376214117497,1,0.16936471267458503,0.25917518847980703,2.3,27.3,40.1,170.0,418.0
C30,0.48540010377145154,42.5,0.4111761205705006,0.44060100371911987,0.05423227138936578,2,0.12471195694405922,0.20312833673882505,2.6846031011068074,24.1,39.0,178.0,487.0
C30,0.4943865278455345,42.5,0.42,0.5697015452145098,0.07603327186391402,1,0.1696973134821621,0.290278852031252,2.5239042160411533,23.7,37.7,184.0,538.0
C30,0.5058087046101314,42.5,0.389672300286176,0.698289291436973,0.09536976690394261,2,0.10854628452293301,0.2368838795351531,2.3560179499133107,26.5,36.3,195.0,553.0
C30,0.5109280668025418,42.5,0.4002813474740663,0.3846126862944898,0.06153135787198868,2,0.17108085496921363,0.16442014473618774,2.7465376417903076,24.5,35.6,196.0,544.0
C30,0.5241368815309612,42.5,0.4047973985582655,0.5247911519767832,0.09146412732041913,1,0.13037476856438474,0.2695211192201325,2.5834556059786804,23.1,33.5,202.0,588.0
C30,0.5392306451444081,42.5,0.4090640669582533,0.6650032938361884,0.052176531884448575,2,0.1620996039800546,0.19772483413006217,2.4090473030451602,23.1,31.5,212.0,602.0
C30,0.55,42.5,0.4155343986318539,0.34277035820747076,0.08557967848344217,2,0.11175386611146652,0.3,2.7936456409656194,21.4,30.2,220.0,638.0
C30,0.45,42.5,0.38,0.47395023094874106,0.1,2,0.1601270951683198,0.2233803355854465,2.629045588905028,29.7,43.1,160.0,472.0
C30,0.4653111379942233,42.5,0.3958582697282356,0.6154398870819616,0.060665184631387786,2,0.10943860493190638,0.16429194011086187,2.463400020503798,30.2,41.7,167.0,433.0
C30,0.4735775309659336,42.5,0.413446255252275,0.3,0.09850701094961528,2,0.16074880082694398,0.26781151882781884,2.3,24.8,40.0,173.0,471.0
C30,0.4792569786507237,42.5,0.40992415130507776,0.4426933617356948,0.05545834485105782,2,0.10644815282830572,0.1935252876276007,2.6883632963651567,23.9,39.4,178.0,538.0
C30,0.49282246720660744,42.5,0.42,0.5826018333570315,0.07819859538281738,2,0.17152983100116065,0.3,2.5239425628792325,23.6,37.9,190.0,553.0
C30,0.5101867182699807,42.5,0.3923745285251712,0.6938109225058657,0.1,2,0.1013506721134986,0.23257440785815542,2.358497141587978,25.6,35.8,197.0,593.0
C30,0.5133217925300833,42.5,0.3889929122063109,0.3861637008121534,0.06032975515910499,1,0.1672181645598338,0.1645165397374171,2.750595501212666,24.4,34.7,197.0,583.0
C30,0.5213216559667905,42.5,0.3991110363976908,0.5204447790176403,0.09364894435812236,1,0.11837386234842298,0.268476736226379,2.580684348447956,22.9,34.2,204.0,641.0
C30,0.5278050836164744,42.5,0.41805894280418593,0.664907675044633,0.06399564071740013,1,0.16359044058781924,0.20191399733575394,2.413571816280794,20.9,32.6,206.0,562.0
C30,0.542362736870828,42.5,0.4189115939838639,0.3499383287043804,0.08190485952271792,1,0.11517865929111432,0.3,2.8,20.6,30.8,217.0,605.0
C30,0.451960209448663,42.5,0.383821818206476,0.4767767532991224,0.1,2,0.1624003669564768,0.23326193059480788,2.6343428705423473,26.7,43.5,164.0,452.0
C30,0.4570874276857337,42.5,0.39718672498094887,0.61444639162846,0.06317093377620708,2,0.11106702587988208,0.15621657792351526,2.4755188242495,27.4,42.9,168.0,432.0
C30,0.476667143693608,42.5,0.4047025433883516,0.3002778607847198,0.08919005349633435,1,0.15946935868349804,0.26474922903569287,2.3044310098306466,27.7,39.8,173.0,500.0
C30,0.4821648174367633,42.5,0.40387068940362447,0.4262960144614505,0.05196333444929338,2,0.11004387535255188,0.20155453782799004,2.6962656699736365,27.2,39.2,180.0,530.0
C30,0.49082277546770897,42.5,0.4106211068071803,0.5637956594226282,0.07031790615048353,1,0.17461745526172093,0.3,2.5254600127672906,27.7,38.4,185.0,480.0
C30,0.5082356882300798,42.5,0.38690787686344646,0.7,0.09277195013763959,1,0.10689042654352242,0.2316173271501775,2.3578439378276994,22.8,36.0,194.0,598.0
C30,0.5168947058662947,42.5,0.395279231214056,0.38755188569947197,0.06614746107951668,2,0.17088453678056842,0.16133505927546682,2.7409353772318066,22.1,34.6,198.0,601.0
C30,0.522942222504773,42.5,0.4065838254058256,0.5231389322509139,0.09983790355497725,1,0.10706961968433536,0.2624680574557628,2.5747808145505573,24.4,33.4,200.0,653.0
C30,0.535104358436331,42.5,0.4067357169967705,0.6489275041780425,0.05169952824764699,2,0.1641921995288403,0.19975260223608401,2.4078845000651237,19.2,31.6,215.0,616.0
C30,0.5419969449548618,42.5,0.42,0.3518277375715926,0.08127899254458987,1,0.1104496138913988,0.29963194442104046,2.798588894055064,19.0,31.4,217.0,589.0
C30,0.45,42.5,0.39162536178483326,0.47907111233782884,0.1,1,0.16776008212804738,0.23091145487348683,2.641527633265203,32.2,43.2,160.0,462.0
C30,0.4622372878751392,42.5,0.3910830059759371,0.6142253607728485,0.061328564519753694,1,0.11039921368600465,0.16726814482522614,2.46923886083696,26.5,41.8,169.0,472.0
C30,0.45483137615403946,42.5,0.40088090691247463,0.3,0.09335301571038317,2,0.16385037360936486,0.2793629556227211,2.306983967893851,31.6,42.6,160.0,463.0
C30,0.48138378137828447,42.5,0.40894285947725184,0.4316217901402113,0.05,2,0.11833280507102018,0.20443031780123078,2.6882034997836795,25.6,39.3,179.0,497.0
C30,0.49877479702465843,42.5,0.41948211950049186,0.5677670383106848,0.0683583603316083,2,0.1715098090898034,0.3,2.5282830043883475,26.2,36.9,192.0,591.0
C30,0.504835309064183,42.5,0.38636477168914096,0.6998365262595295,0.08966278949980062,1,0.11066551091354718,0.22681098583080908,2.3589039182997054,24.9,36.2,191.0,556.0
C30,0.5283765426792317,42.5,0.3878240593334245,0.396947852717481,0.06260188892607339,1,0.16946779522152028,0.16210602538361915,2.7494300205539335,20.6,32.6,205.0,627.0
C30,0.5266011840682415,42.5,0.39998880486876887,0.5198438654823792,0.08481139352244645,1,0.10831598364494184,0.25949622232050407,2.576820113658211,23.9,33.7,200.0,640.0
C30,0.532796440682456,42.5,0.4053094859847646,0.6553474253841208,0.05105497726518599,2,0.16727919415836429,0.2098673044580128,2.409215822880199,22.1,32.1,216.0,652.0
C30,0.5447021042689169,42.5,0.42,0.34823198299468094,0.07512527203972515,1,0.10823201990788772,0.2986247415142418,2.7884903941763217,19.1,30.4,216.0,657.0
C30,0.4589036471907261,42.5,0.38570684338616235,0.47977887262981295,0.09607744053093349,2,0.16902580162299866,0.23658865861668485,2.627484491164208,28.2,42.8,160.0,467.0
C30,0.4528156531691728,42.5,0.39239880772053126,0.6108721567242433,0.061360353501933716,2,0.10783924438054604,0.16280054181440254,2.464912720440802,28.9,42.9,166.0,478.0
C30,0.46133881527586135,42.5,0.40026705221606973,0.3,0.09975310036575542,1,0.17448073449770723,0.26944486786483435,2.3104223861527076,31.1,41.7,168.0,448.0
